513, 64, 87, 18
1201, 127, 179, 31
1503, 157, 466, 78
121, 23, 3, 2
264, 32, 13, 5
485, 53, 86, 22
885, 92, 125, 20
1445, 186, 166, 33
283, 43, 33, 10
444, 57, 87, 20
157, 23, 21, 8
364, 62, 57, 17
652, 75, 195, 35
1341, 145, 661, 87
236, 31, 60, 17
298, 38, 37, 10
370, 43, 63, 16
453, 48, 72, 21
136, 18, 25, 9
873, 119, 98, 22
180, 25, 17, 5
99, 15, 2, 1
1235, 160, 465, 85
181, 25, 33, 11
22, 9, 2, 2
587, 73, 137, 34
181, 22, 35, 10
537, 57, 90, 18
180, 29, 21, 9
193, 23, 32, 12
360, 64, 32, 16
208, 34, 48, 11
422, 57, 112, 25
66, 13, 2, 2
50, 9, 1, 1
481, 85, 38, 13
404, 68, 57, 15
8, 4, 2, 2
304, 77, 20, 7
179, 32, 19, 7
604, 69, 189, 32
153, 21, 42, 10
179, 28, 25, 9
125, 17, 17, 5
350, 44, 105, 24
54, 12, 0, 0
389, 46, 98, 17
209, 26, 37, 7
12, 4, 2, 2
959, 109, 248, 49
22, 4, 0, 0
74, 12, 7, 3
123, 17, 15, 6
261, 38, 64, 16
95, 14, 12, 3
47, 6, 11, 3
60, 11, 2, 1
67, 12, 6, 2
28, 9, 1, 1
91, 12, 20, 4
104, 15, 17, 4
44, 9, 5, 3
67, 12, 6, 3
55, 9, 10, 3
111, 15, 16, 6
100, 15, 27, 5
584, 76, 48, 18
90, 13, 3, 1
27, 5, 3, 2
64, 13, 4, 4
61, 10, 4, 2
104, 12, 20, 4
52, 9, 14, 3
138, 22, 22, 9
73, 13, 9, 3
59, 11, 3, 2
27, 5, 0, 0
64, 10, 7, 4
34, 6, 2, 2
196, 32, 29, 9
190, 27, 22, 7
6, 2, 0, 0
2, 2, 0, 0
75, 9, 4, 2
2, 2, 0, 0
4, 2, 0, 0
4, 2, 0, 0
16, 4, 0, 0
12, 4, 0, 0
15, 6, 1, 1
0, 0, 0, 0
0, 0, 0, 0
5, 2, 0, 0
4, 2, 0, 0
4, 2, 0, 0
2, 2, 0, 0
2, 2, 0, 0
189, 25, 42, 14
92, 13, 16, 4
5, 2, 1, 1
43, 10, 4, 2
83, 12, 16, 6
6, 3, 1, 1
22, 8, 2, 2
34, 5, 0, 0
60, 8, 3, 2
59, 13, 6, 3
42, 9, 6, 3
12, 3, 1, 1
38, 6, 8, 3
22, 5, 2, 1
