513, 69, 55, 8
1201, 134, 124, 8
1503, 164, 310, 61
121, 23, 3, 1
264, 33, 10, 4
485, 55, 55, 10
885, 94, 96, 17
1445, 197, 122, 20
283, 46, 23, 8
444, 59, 60, 12
157, 23, 21, 7
364, 64, 45, 15
652, 80, 117, 18
1341, 156, 413, 74
236, 32, 38, 15
298, 40, 31, 7
370, 46, 45, 7
453, 51, 46, 12
136, 19, 17, 5
873, 130, 58, 8
180, 26, 16, 4
99, 15, 2, 0
1235, 168, 295, 51
181, 26, 23, 8
22, 9, 1, 1
587, 75, 99, 14
181, 23, 25, 4
537, 59, 69, 13
180, 30, 14, 6
193, 23, 22, 8
360, 65, 22, 8
208, 36, 34, 4
422, 59, 74, 18
66, 13, 2, 2
50, 10, 0, 0
481, 88, 25, 9
404, 70, 44, 13
8, 4, 2, 2
304, 79, 15, 1
179, 32, 16, 4
604, 73, 127, 18
153, 21, 31, 6
179, 31, 20, 3
125, 19, 11, 4
350, 47, 54, 18
54, 12, 0, 0
389, 48, 68, 13
209, 27, 27, 4
12, 5, 2, 2
959, 115, 166, 32
22, 4, 0, 0
74, 13, 3, 2
123, 18, 11, 5
261, 38, 45, 11
95, 16, 6, 2
47, 7, 8, 2
60, 11, 2, 0
67, 12, 6, 1
28, 9, 1, 1
91, 13, 14, 3
104, 16, 12, 2
44, 9, 4, 1
67, 13, 4, 1
55, 10, 8, 3
111, 17, 10, 3
100, 17, 15, 4
584, 77, 39, 8
90, 13, 2, 1
27, 5, 2, 2
64, 13, 4, 4
61, 10, 4, 1
104, 13, 13, 2
52, 9, 12, 2
138, 23, 16, 8
73, 13, 7, 3
59, 11, 3, 2
27, 5, 0, 0
64, 11, 6, 2
34, 6, 2, 1
196, 32, 22, 10
190, 28, 16, 4
6, 2, 0, 0
2, 2, 0, 0
75, 9, 2, 2
2, 2, 0, 0
4, 2, 0, 0
4, 2, 0, 0
16, 4, 0, 0
12, 4, 0, 0
15, 6, 1, 1
0, 0, 0, 0
0, 0, 0, 0
5, 2, 0, 0
4, 2, 0, 0
4, 2, 0, 0
2, 2, 0, 0
2, 2, 0, 0
189, 26, 28, 10
92, 13, 12, 4
5, 2, 0, 0
43, 10, 4, 1
83, 12, 14, 5
6, 3, 1, 1
22, 8, 2, 2
34, 6, 0, 0
60, 9, 1, 0
59, 14, 3, 1
42, 10, 4, 2
12, 3, 1, 1
38, 6, 6, 3
22, 5, 2, 1
4, 2, 0, 0
63, 12, 10, 2
4, 2, 0, 0
281, 40, 62, 13
8, 3, 0, 0
21, 4, 1, 1
71, 11, 3, 2
7, 2, 0, 0
23, 6, 2, 2
32, 10, 1, 1
24, 5, 1, 1
20, 8, 0, 0
26, 7, 2, 0
37, 6, 2, 0
22, 5, 0, 0
32, 6, 3, 0
6, 2, 0, 0
19, 5, 2, 2
27, 5, 0, 0
14, 5, 0, 0
42, 8, 2, 2
19, 3, 0, 0
4, 1, 0, 0
32, 5, 6, 3
397, 66, 114, 48
14, 4, 0, 0
26, 13, 0, 0
4, 2, 0, 0
10, 4, 2, 2
53, 10, 0, 0
36, 7, 2, 1
40, 9, 1, 1
42, 9, 4, 3
27, 5, 1, 1
17, 4, 3, 2
34, 6, 1, 0
33, 6, 3, 2
6, 2, 0, 0
6, 2, 0, 0
7, 2, 0, 0
24, 4, 1, 0
28, 5, 4, 2
10, 3, 0, 0
11, 5, 1, 1
21, 5, 0, 0
10, 3, 2, 2
38, 7, 1, 1
10, 3, 1, 1
14, 3, 0, 0
15, 4, 1, 1
33, 6, 3, 2
13, 4, 0, 0
42, 7, 3, 2
11, 4, 1, 0
28, 5, 0, 0
25, 5, 1, 1
11, 6, 0, 0
6, 2, 0, 0
19, 6, 1, 1
15, 3, 0, 0
15, 4, 0, 0
32, 6, 3, 2
13, 4, 0, 0
14, 3, 2, 1
22, 6, 1, 1
4, 2, 0, 0
6, 2, 0, 0
180, 32, 28, 8
14, 4, 1, 0
19, 5, 3, 1
12, 3, 1, 1
14, 3, 2, 2
12, 6, 1, 0
4, 2, 0, 0
10, 2, 4, 2
18, 3, 1, 1
10, 2, 0, 0
15, 4, 2, 0
10, 3, 0, 0
2, 1, 0, 0
13, 4, 1, 0
3, 2, 0, 0
2, 1, 0, 0
4, 2, 0, 0
4, 2, 0, 0
8, 2, 0, 0
3, 2, 0, 0
30, 5, 2, 1
11, 3, 0, 0
2, 1, 0, 0
12, 4, 0, 0
2, 1, 0, 0
2, 1, 0, 0
14, 5, 1, 1
3, 1, 0, 0
6, 3, 0, 0
4, 2, 0, 0
10, 2, 1, 1
11, 5, 0, 0
20, 4, 0, 0
0, 0, 0, 0
10, 4, 0, 0
11, 3, 1, 0
8, 4, 0, 0
0, 0, 0, 0
10, 2, 2, 1
4, 2, 0, 0
50, 9, 1, 0
29, 9, 0, 0
8, 2, 0, 0
4, 1, 0, 0
34, 6, 0, 0
0, 0, 0, 0
8, 2, 0, 0
6, 2, 0, 0
0, 0, 0, 0
4, 2, 0, 0
10, 2, 1, 1
7, 2, 1, 1
10, 2, 0, 0
4, 2, 0, 0
4, 2, 0, 0
4, 2, 0, 0
6, 2, 0, 0
4, 2, 0, 0
12, 3, 3, 1
8, 2, 1, 1
2, 2, 0, 0
0, 0, 0, 0
54, 12, 8, 4
4, 2, 0, 0
4, 2, 0, 0
2, 1, 0, 0
4, 2, 0, 0
6, 2, 0, 0
8, 4, 0, 0
7, 2, 1, 0
8, 4, 0, 0
10, 2, 0, 0
4, 2, 0, 0
11, 3, 2, 1
26, 4, 1, 1
17, 5, 0, 0
20, 4, 0, 0
12, 3, 0, 0
20, 5, 0, 0
4, 2, 0, 0
6, 2, 0, 0
18, 3, 2, 2
8, 3, 0, 0
4, 2, 0, 0
22, 4, 0, 0
4, 2, 0, 0
18, 3, 1, 1
12, 3, 0, 0
2, 2, 0, 0
4, 2, 0, 0
14, 3, 2, 1
10, 3, 1, 1
8, 4, 0, 0
2, 1, 0, 0
8, 2, 0, 0
14, 4, 0, 0
4, 2, 0, 0
6, 2, 0, 0
4, 2, 0, 0
4, 2, 0, 0
6, 2, 0, 0
10, 4, 0, 0
4, 2, 0, 0
4, 2, 0, 0
4, 2, 0, 0
4, 2, 1, 1
4, 2, 0, 0
8, 2, 0, 0
6, 2, 0, 0
4, 2, 0, 0
4, 2, 0, 0
4, 2, 0, 0
6, 2, 0, 0
4, 2, 0, 0
5, 2, 0, 0
6, 2, 0, 0
4, 2, 0, 0
2, 1, 0, 0
2, 2, 0, 0
8, 3, 1, 1
24, 7, 1, 1
0, 0, 0, 0
0, 0, 0, 0
