513, 64, 72, 8
1201, 127, 154, 19
1503, 157, 358, 60
121, 23, 3, 1
264, 32, 9, 5
485, 53, 73, 14
885, 92, 110, 14
1445, 186, 149, 29
283, 43, 30, 8
444, 57, 67, 14
157, 23, 21, 7
364, 62, 45, 15
652, 75, 142, 24
1341, 145, 438, 82
236, 31, 46, 14
298, 38, 33, 8
370, 43, 52, 13
453, 48, 60, 20
136, 18, 21, 6
873, 119, 90, 16
180, 25, 16, 4
99, 15, 2, 0
1235, 160, 333, 54
181, 25, 29, 11
22, 9, 2, 2
587, 73, 108, 22
181, 22, 25, 10
537, 57, 76, 12
180, 29, 19, 8
193, 23, 28, 8
360, 64, 30, 13
208, 34, 41, 7
422, 57, 87, 19
66, 13, 2, 2
50, 9, 1, 1
481, 85, 32, 9
404, 68, 49, 16
8, 4, 2, 2
304, 77, 19, 1
179, 32, 16, 4
604, 69, 145, 20
153, 21, 31, 11
179, 28, 23, 7
125, 17, 14, 5
350, 44, 75, 18
54, 12, 0, 0
389, 46, 74, 13
209, 26, 32, 4
12, 4, 2, 2
959, 109, 198, 34
22, 4, 0, 0
74, 12, 6, 3
123, 17, 12, 5
261, 38, 51, 10
95, 14, 9, 3
47, 6, 10, 3
60, 11, 2, 0
67, 12, 6, 1
28, 9, 1, 1
91, 12, 17, 3
104, 15, 13, 2
44, 9, 4, 1
67, 12, 5, 4
55, 9, 8, 3
111, 15, 13, 5
100, 15, 21, 6
584, 76, 45, 14
90, 13, 2, 1
27, 5, 2, 2
64, 13, 4, 4
61, 10, 4, 1
104, 12, 16, 3
52, 9, 11, 2
138, 22, 18, 9
73, 13, 9, 3
59, 11, 3, 2
27, 5, 0, 0
64, 10, 7, 3
34, 6, 2, 1
196, 32, 25, 7
190, 27, 20, 5
6, 2, 0, 0
2, 2, 0, 0
75, 9, 4, 2
2, 2, 0, 0
4, 2, 0, 0
4, 2, 0, 0
16, 4, 0, 0
12, 4, 0, 0
15, 6, 1, 1
0, 0, 0, 0
0, 0, 0, 0
5, 2, 0, 0
4, 2, 0, 0
4, 2, 0, 0
2, 2, 0, 0
2, 2, 0, 0
189, 25, 32, 13
92, 13, 14, 4
5, 2, 1, 1
43, 10, 4, 1
83, 12, 15, 5
6, 3, 1, 1
22, 8, 2, 2
34, 5, 0, 0
60, 8, 3, 2
59, 13, 6, 3
42, 9, 3, 2
12, 3, 1, 1
38, 6, 7, 2
22, 5, 2, 1
