513, 77
1201, 140
1503, 196
121, 23
264, 34
485, 63
885, 100
1445, 200
283, 46
444, 70
157, 25
364, 75
652, 89
1341, 234
236, 42
298, 44
370, 50
453, 56
136, 21
873, 126
180, 28
99, 15
1235, 214
181, 32
22, 10
587, 88
181, 28
537, 67
180, 33
193, 29
360, 69
208, 42
422, 73
66, 15
50, 9
481, 90
404, 78
8, 6
304, 78
179, 32
604, 92
153, 33
179, 35
125, 21
350, 56
54, 12
389, 55
209, 29
12, 5
959, 136
22, 4
74, 15
123, 19
261, 50
95, 15
47, 8
60, 11
67, 13
28, 9
91, 15
104, 18
44, 9
67, 13
55, 10
111, 19
100, 20
584, 82
90, 13
27, 6
64, 17
61, 10
104, 14
52, 13
138, 29
73, 15
59, 12
27, 5
64, 11
34, 7
196, 35
190, 33
6, 2
2, 2
75, 10
2, 2
4, 2
4, 2
16, 4
12, 4
15, 6
0, 0
0, 0
5, 2
4, 2
4, 2
2, 2
2, 2
189, 33
92, 15
5, 2
43, 11
83, 16
6, 3
22, 9
34, 5
60, 9
59, 14
42, 10
12, 4
38, 7
22, 6
4, 2
63, 13
4, 2
281, 51
8, 3
21, 5
71, 12
7, 2
23, 7
32, 11
24, 6
20, 8
26, 7
37, 6
22, 4
32, 7
6, 2
19, 6
27, 4
14, 5
42, 9
19, 3
4, 1
32, 7
397, 115
14, 4
26, 12
4, 2
10, 5
53, 10
36, 7
40, 9
42, 10
27, 6
17, 5
34, 6
33, 9
6, 2
6, 2
7, 2
24, 4
28, 8
10, 3
11, 6
21, 5
10, 5
38, 8
10, 3
14, 3
15, 5
33, 8
13, 4
42, 7
11, 4
28, 5
25, 5
11, 6
6, 2
19, 6
15, 3
15, 4
32, 8
13, 4
14, 4
22, 7
4, 2
6, 2
180, 35
14, 4
19, 5
12, 4
14, 5
12, 6
4, 2
10, 4
18, 4
10, 2
15, 4
10, 3
2, 1
13, 4
3, 2
2, 1
4, 2
4, 2
8, 2
3, 1
30, 6
11, 3
2, 1
12, 4
2, 1
2, 1
14, 6
3, 1
6, 3
4, 2
10, 2
11, 5
20, 4
0, 0
10, 4
11, 3
8, 4
0, 0
10, 3
4, 2
50, 9
29, 9
8, 2
4, 1
34, 6
0, 0
8, 2
6, 2
0, 0
4, 2
10, 3
7, 3
10, 2
4, 2
4, 2
4, 2
6, 2
4, 2
12, 4
8, 3
2, 2
0, 0
54, 14
4, 2
4, 2
2, 1
4, 2
6, 2
8, 4
7, 2
8, 4
10, 2
4, 2
11, 4
26, 5
17, 5
20, 4
12, 3
20, 5
4, 2
6, 2
18, 5
8, 3
4, 2
22, 4
4, 2
18, 3
12, 3
2, 2
4, 2
14, 4
10, 4
8, 4
2, 1
8, 2
14, 4
4, 2
6, 2
4, 2
4, 2
6, 2
10, 4
4, 2
4, 2
4, 2
4, 3
4, 2
8, 2
6, 2
4, 2
4, 2
4, 2
6, 2
4, 2
5, 2
6, 2
4, 2
2, 1
2, 2
8, 4
24, 7
0, 0
0, 0
